system:index,Class,Sentinel_RVI,Sentinel_Span,VH,VV,VVVH_Ratio,.geo
00000000000000000161_0,0,2.451754706089318,1181.3594796408756,-26.909123284644302,-21.38360502096617,0.6314845812533251,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000162_0,0,2.2983047287824734,1182.4623396606237,-26.06558452658025,-22.428723613891272,0.7404132489075976,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000163_0,0,2.270776233095122,1140.6612255164628,-25.446936951801973,-22.20618439280999,0.7615121832360843,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000164_0,0,2.2437251705499124,1200.3530946284814,-25.948325822514082,-22.957296914861956,0.7827495330097153,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000165_0,0,2.2622020836648997,1208.3270844088956,-26.14134679056598,-22.91194169825555,0.7681886286302796,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000166_0,0,2.4022670803288877,1012.7609535672839,-24.662331089118375,-20.11294058107837,0.6650937910918595,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000167_0,0,2.3611312799441913,1238.434548650779,-27.037504281011778,-22.525716656857973,0.6941031758702317,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000168_0,0,2.4595909514141874,1225.255501683103,-27.44825743608422,-21.722077833521137,0.6262866789699832,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000169_0,0,2.3184099560353726,1143.746740108615,-25.747202903669045,-21.927797033580717,0.7253204031439946,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016a_0,0,2.452272656428598,1243.3594715929628,-27.609130891332548,-21.93388618139133,0.6311399915152406,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016b_0,0,2.36328513586078,1124.3854661823414,-25.774228694602197,-21.44934967267507,0.6925592004551236,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016c_0,0,2.4236798910882973,1141.7483752311641,-26.302245995972036,-21.211794615226147,0.6503829629926469,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016d_0,0,2.353796681764427,1258.8834320440133,-27.21743763230391,-22.76168976099227,0.6993821220792802,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016e_0,0,2.3185168015355133,1192.2807718554996,-26.288414756764556,-22.387496988985237,0.7252408942436257,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000016f_0,0,2.444703503003632,1058.9037819929135,-25.439662857346743,-20.291065415533165,0.6361902353743458,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000170_0,0,3.5253043466655924,353.58439366682614,-17.652851043859602,-6.477749894070554,0.13465380763036755,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000171_0,0,2.423164973241841,764.1153858395426,-21.51498105089541,-17.35571883325937,0.6507336661641256,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000172_0,0,2.205170182429401,1200.7584634356895,-25.72876192060224,-23.211834771699063,0.8139189582153985,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000173_0,0,2.3037589102758442,1070.4125868262902,-24.82927976488888,-21.30538554410996,0.7362927961594095,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000174_0,0,2.359096223622115,1113.5318895651521,-25.626787135514807,-21.37287230758105,0.6955645810235199,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000175_0,0,2.2826545411939234,1171.1560296125679,-25.85219830808288,-22.42364538276782,0.75234575701842,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000176_0,0,2.3206345907703825,1168.117550965646,-26.032546911783637,-22.145519913775562,0.7236664556793135,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000177_0,0,2.202124141703816,1222.9593784023073,-25.947583565251378,-23.445304125274298,0.8164280224933826,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000178_0,0,2.421370813928555,1194.5837335453914,-26.891123940812776,-21.712926719934313,0.6519568076853943,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000179_0,0,2.3486021211384616,1093.7030182081774,-25.341039976978365,-21.249346133313413,0.7031407593471132,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017a_0,0,2.3778180822214594,1109.7111961182247,-25.68409696764478,-21.214107548394416,0.6822144763332898,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017b_0,0,2.1496364087470106,1146.0177358916726,-24.816937009543278,-23.02471223177466,0.8607797968641295,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017c_0,0,2.3065641939059884,1159.305737116881,-25.855430295315074,-22.154061960755286,0.7341810865564112,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017d_0,0,2.295731351633413,1252.4644499825376,-26.811014082980947,-23.100518908127043,0.7423641477710358,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017e_0,0,2.2375183138277706,1249.381731900089,-26.436312649877568,-23.462802590014956,0.7876948650119046,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000017f_0,0,2.3090001430163287,1204.144292994711,-26.36460385031929,-22.562179788540824,0.7323515600889736,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000180_0,0,2.343284801962131,1166.6598415634235,-26.142954480103803,-21.98194196641061,0.707005480789459,"{""type"":""MultiPoint"",""coordinates"":[]}"
