"","system.index","Indices","variableImportance","Scenario"
"202",0,"LAnthoC",140.059412647524,"CS4"
"203",0,"LCaroC",160.649565781861,"CS4"
"204",0,"LChloC",145.589386007662,"CS4"
"205",0,"MNDSI",189.518329371791,"CS4"
"206",0,"MSI",142.590548536532,"CS4"
"207",0,"NBR",162.346493410314,"CS4"
"208",0,"NDBI",140.855911205945,"CS4"
"209",0,"NDMI",134.023959980442,"CS4"
"210",0,"NDTI",183.385822140729,"CS4"
"211",0,"NDVI",151.684016215977,"CS4"
"212",0,"NDVIre",161.451070061286,"CS4"
"213",0,"NDWI2",160.046592215659,"CS4"
"214",0,"NDrededgeSWIR",161.302956515852,"CS4"
"215",0,"NHI",150.67762109888,"CS4"
"216",0,"Norm.G",170.972824878054,"CS4"
"217",0,"Norm.NIR",152.996780651967,"CS4"
"218",0,"Norm.R",154.637569134784,"CS4"
"219",0,"RI",184.25014816101,"CS4"
"220",0,"RTVIScore",153.006193887151,"CS4"
"221",0,"ReCL",142.982183516884,"CS4"
"222",0,"RedSWIR1",158.904553851488,"CS4"
"223",0,"RededgePeakArea",186.953907250831,"CS4"
"224",0,"SAVI",136.071169321501,"CS4"
"225",0,"SR.BlueRedEdge1",173.146274542571,"CS4"
"226",0,"SR.BlueRedEdge2",142.214925126122,"CS4"
"227",0,"SR.BlueRedEdge3",158.655963339643,"CS4"
"228",0,"SR.NIRNarrowBlue",141.399137833008,"CS4"
"229",0,"SR.NIRNarrowGreen",135.921377067031,"CS4"
"230",0,"SR.NIRNarrowRed",148.775759463382,"CS4"
"231",0,"SR.NIRNarrowRedEdge1",152.556610650069,"CS4"
"232",0,"SR.NIRNarrowRedEdge2",242.622037716445,"CS4"
"233",0,"SR.NIRNarrowRedEdge3",208.26597726647,"CS4"
"234",0,"STI",185.707646613959,"CS4"
"235",0,"Sentinel_RVI",173.062533951427,"CS4"
"236",0,"Sentinel_Span",227.08394054422,"CS4"
"237",0,"VARI",170.263760176227,"CS4"
"238",0,"VH",235.72022345857,"CS4"
"239",0,"VV",178.056170813542,"CS4"
"240",0,"VVVH_Ratio",158.504124241109,"CS4"
"241",0,"WBI",180.642813788272,"CS4"
"242",0,"aspect",164.45036835166,"CS4"
"243",0,"elevation",338.939115333759,"CS4"
"244",0,"gNDVI",153.031827900972,"CS4"
"245",0,"pc1",264.69806824243,"CS4"
"246",0,"pc2",185.587529882302,"CS4"
"247",0,"pc3",230.484464204842,"CS4"
"248",0,"slope",353.257141629058,"CS4"
