"","system:index","ARVI","B11","B12","B2","B3","B4","B5","B6","B7","B8","B8A","BAI","BSI","Chlogreen","Class","EVI","EVI2","EVI2_2","GI","LAnthoC","LCaroC","LChloC","MNDSI","MSI","NBR","NDBI","NDMI","NDTI","NDVI","NDVIre","NDWI2","NDrededgeSWIR","NHI","Norm-G","Norm-NIR","Norm-R","RTVIScore","ReCL","RedSWIR1","RededgePeakArea","SAVI","SR-BlueRedEdge1","SR-BlueRedEdge2","SR-BlueRedEdge3","SR-NIRNarrowBlue","SR-NIRNarrowGreen","SR-NIRNarrowRed","SR-NIRNarrowRedEdge1","SR-NIRNarrowRedEdge2","SR-NIRNarrowRedEdge3","STI","VARI","WBI","constant","gNDVI","sample",".geo"
"1178","000000000000000005f2_0",0.141326188881447,3514,2460,754,1048,1282,1716,2221,2427,2654,2728,-0.566915565766801,0.169185763042418,0.986975397973951,3,0.731031543052003,0.836372872745745,0.598415855403189,0.817472698907956,-3.63323353293413,-2.52286902286902,1.41433566433566,0.259332023575639,1.28812316715543,0.0379350801720767,0.139429312581064,-0.139429312581064,0.176431201874791,0.348577235772358,0.214645308924485,-0.433819556996218,-0.0510574663533433,0.540552389302937,0.210272873194221,0.532504012841092,0.257223113964687,84400,1.07020280811232,-2232,10374,0.540830320408927,0.439393939393939,0.339486717694732,0.310671611042439,3.61803713527851,2.6030534351145,2.12792511700468,1.58974358974359,1.22827555155335,1.12402142562835,1.42845528455285,-0.148477157360406,-0.259332023575639,0,0.444915254237288,"test","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1179","000000000000000009b0_0",-0.0293496125851139,2856,1858.5,1251,1721,2192,2395,2478.5,2666,2883,2946.5,-0.4039309112567,0.0995425833151819,0.71586491739553,6,0.259637784624634,0.326713947990544,0.212098516845104,0.785127737226277,-3.95548961424332,-2.33041958041958,1.11315240083507,0.273308161487075,0.969285593076532,0.216070863650743,-0.00470465237846315,0.00470465237846315,0.211581291759465,0.13615763546798,0.092459264873058,-0.25238922675934,0.14295596034125,0.247979025562596,0.253237198351972,0.424220129487934,0.322542672160094,42895,0.315237226277372,-664,12678,0.220227670753065,0.522338204592902,0.504740770627396,0.469242310577644,2.35531574740208,1.71208599651365,1.34420620437956,1.23027139874739,1.18882388541457,1.10521380345086,1.53672316384181,-0.176934635612322,-0.273308161487075,0,0.262560257096947,"test","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1180","000000000000000009b1_0",-0.0483524807473804,2952,1954,1038,1594,2076,2289,2479,2644,2731,2616,-0.431855500821018,0.143116971694896,0.673705897501932,6,0.221194110495745,0.326955074875208,0.212265373846313,0.767822736030829,-3.80431654676259,-2.11350919264588,1.15508955875928,0.333333333333333,1.12844036697248,0.165848452508004,0.0388879113144466,-0.0388879113144466,0.203424378312271,0.13625962138548,0.0880478087649402,-0.262890173410405,0.118429957139635,0.298724153101628,0.249023590064053,0.426652085611623,0.324324324324324,22480,0.315510597302505,-876,12104,0.172615876398508,0.453473132372215,0.418717224687374,0.392586989409985,2.52023121387283,1.64115432873275,1.26011560693642,1.14285714285714,1.05526421944332,0.989409984871407,1.510747185261,-0.183130699088146,-0.333333333333333,0,0.242755344418052,"test","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1181","000000000000000009b2_0",-0.363893249607535,669,405,1016,2024,2172,2256,1472,1412,1010,1132,-0.0540037243947858,0.167454283953154,0.264485981308411,6,-0.452280865639109,-0.876154571159284,-0.466756643851023,0.931860036832412,-6.08620689655172,-1.13870967741935,0.625886524822695,0.362609786700125,0.590989399293286,0.42756183745583,-0.203097081596188,0.203097081596188,0.245810055865922,-0.365179132620993,-0.38150642988365,0.334212261041529,0.568460309003729,-0.503156331229113,0.388782174414138,0.194006915097964,0.417210910487899,-103480,-0.534990791896869,1503,8444,-0.47208352246936,0.450354609929078,0.690217391304348,0.719546742209632,1.11417322834646,0.559288537549407,0.521178637200737,0.50177304964539,0.769021739130435,0.801699716713881,1.65185185185185,-0.0465408805031447,-0.362609786700125,0,-0.282636248415716,"test","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1182","00000000000000000036_0",-0.11324103656372,239,215,332,449,392,410.666666666667,277,268,292.5,248,0.144827586206897,0.00517722023098367,0.288483908491663,0,-1.59967845659164,-0.34835886214442,-0.201531232277404,1.14540816326531,6.99130434782609,-3.40677966101695,0.652597402597403,0.0828729281767956,0.963709677419355,0.152709359605911,-0.10065851364064,0.10065851364064,0.052863436123348,-0.14536157779401,-0.168049300782176,0.21105866486851,0.126016260162602,-0.305232558139535,0.396118217909131,0.258050286722541,0.345831495368328,-14256.6666666667,-0.253826530612245,153,1595.66666666667,-0.337236533957845,0.808441558441558,1.1985559566787,1.23880597014925,0.746987951807229,0.552338530066815,0.63265306122449,0.603896103896104,0.895306859205776,0.925373134328358,1.11162790697674,0.111984282907662,-0.0828729281767956,0,-0.288378766140603,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1183","00000000000000000037_0",-0.0135375143071398,28.1,27.1875,158.083333333333,205.833333333333,107,84,43.4,42.5,50.2,43.1428571428571,0.571200378631012,-0.213124302286075,0.148854021194447,0,0.288368787124943,-0.861694058154235,-0.461038961038961,1.92367601246106,0.348837209302326,0.573678290213723,0.505952380952381,-0.192706696007545,0.651324503311258,0.297367145856889,-0.282247765006386,0.282247765006386,0.016504634863215,-0.361323155216285,-0.251862891207153,0.607863559432366,0.229679475827873,-0.759760615559989,0.566981911670186,0.138279313194381,0.294738775135433,-2458.80952380952,-0.530841121495327,78.9,320.042857142857,-0.635846372688478,1.88194444444444,3.64247311827957,3.71960784313725,0.272912116876271,0.209600925390399,0.403204272363151,0.513605442176871,0.994075049374589,1.01512605042017,1.0335632183908,0.638664512654819,0.192706696007545,0,-0.653437888495744,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1184","00000000000000000038_0",-0.303831624392876,61.3,54.8970588235294,462.5,694.666666666667,654.333333333333,605.5,265.5,253.666666666667,236.25,160.333333333333,0.485148514851485,0.0119368865112003,0.123317523394437,0,-1.50497960163187,-1.12541359005515,-0.578213887275376,1.06164034640856,2.84485981308411,-1.77389277389277,0.418937517203413,0.171765408148038,0.382328482328482,0.622891201131427,-0.587968408670812,0.587968408670812,0.055104158756676,-0.469448863104707,-0.438669438669439,0.492435771193268,0.657318584476982,-0.837823537192998,0.43820638174841,0.149030121431951,0.412763496819639,-39173.3333333333,-0.638945491594498,593.033333333333,1939.33333333333,-0.909016561030464,0.763831544178365,1.74199623352166,1.82325886990802,0.346666666666667,0.230806142034549,0.245033112582781,0.264794935315167,0.603892027620841,0.632063074901445,1.11663541387624,0.04549727392367,-0.171765408148038,0,-0.62495126705653,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1185","00000000000000000084_0",0.222651222651223,463,370,501,422,302,272,330,343,449,388,0.12710911136108,-0.107871720116618,0.559077809798271,0,-0.245737211634905,0.469148936170213,0.312819203268642,1.39735099337748,2.28666666666667,1.49781659388646,1.26102941176471,-0.247820672478207,1.19329896907216,0.0964590964590965,0.0153508771929825,-0.0153508771929825,0.111644657863145,0.195739014647137,0.245492371705964,-0.0309988518943743,-0.0571428571428571,0.0463276836158192,0.359761295822677,0.382779198635976,0.257459505541347,11940,0.486754966887417,-161,1635,0.186821144098479,1.84191176470588,1.51818181818182,1.46064139941691,0.774451097804391,0.919431279620853,1.28476821192053,1.42647058823529,1.17575757575758,1.13119533527697,1.25135135135135,0.538116591928251,0.247820672478207,0,-0.0419753086419753,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1186","000000000000000001ba_0",-0.0049443955516441,1747,1217.5,483.285714285714,618.4,747.666666666667,951,1156.5,1315.33333333333,997.333333333333,1456.375,-0.501680153929719,0.255087984092189,0.92798203134956,1,0.335629328997401,0.343184421534937,0.223496693800578,0.827106553722693,-3.95470034074965,-2.81225819588678,1.38310550297932,0.214777562862669,1.19955368637885,-0.0994055233651892,0.273168954208672,-0.273168954208672,0.17861359419801,0.143075453677173,0.0237810094097519,-0.234527149694669,-0.0256950294860994,0.4771286040416,0.261656934924262,0.421990917040422,0.316352148035316,42157.75,0.333927775300936,-999.333333333333,5626.875,0.482214746073447,0.508186870962896,0.417886480143289,0.367424516689595,3.01348655039905,2.35506953428202,1.94789344627731,1.53141430073607,1.2592952875054,1.10722883933097,1.43490759753593,-0.146431191472835,-0.214777562862669,0,0.403887168488149,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1187","000000000000000001d3_0",0.0282466112811544,2969,2650,2834,2854,2778,2705,2761,2764,3045,2746,0.0157706093189964,-0.0113538620333735,0.493973736283504,1,-0.433160285528877,0.110027472527473,0.0687209158670675,1.02735781137509,18.5503355704698,21.4263565891473,1.02181146025878,-0.00997861724875267,1.08120903131828,0.0693590869183494,-0.0126371799135351,0.0126371799135351,0.0567716675565047,0.0458526532715095,0.0591304347826087,-0.0323783692151212,0.0205137682498614,0.0197492701356689,0.328915523798548,0.350927740002305,0.320156736199147,5180,0.0961123110151187,-191,13754,-0.00868856910127613,1.04768946395564,1.0264396957624,1.02532561505065,0.968948482709951,0.962158374211633,0.988480921526278,1.01515711645102,0.994567185802246,0.993487698986975,1.12037735849057,0.0271622587562545,0.00997861724875267,0,-0.0192857142857143,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1188","000000000000000001d4_0",-0.0101542924963735,2869.5,3043,1911,1919,1915,2021.5,1944.5,1842.5,1842,1771,0.0380228136882129,0.120819912152269,0.449435350843802,1,0.182591295647824,-0.0466205428419372,-0.0283429103898121,1.00208877284595,-17.9756097560976,-16.6742081447964,0.911451892159288,0.00104547830632514,1.62027103331451,-0.245854657113613,0.21808341292582,-0.21808341292582,-0.0293446088794926,-0.0194303965930263,-0.0464604633104698,0.0204732783834087,-0.220250626566416,0.198496397619296,0.338090204369274,0.324524312896406,0.33738548273432,-23570,-0.0381201044386423,-954.5,9494.5,-0.0585921605859216,0.945337620578778,0.982771920802263,1.03717774762551,0.926739926739927,0.922876498176133,0.924804177545692,0.876082117239674,0.910773977886346,0.961194029850746,0.942983897469602,0.00208008320332813,-0.00104547830632514,0,-0.0401084010840108,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1189","00000000000000000248_0",-0.0124372681649575,4032,4166,4632,4748,4640,4025,4006,3830,4420,3718,0.109461077844311,-0.0214398555630783,0.423800296363844,1,0.221863654699476,-0.0582717139388588,-0.0353538599987144,1.02327586206897,5.29737206085754,6.30971993410214,0.951552795031056,0.000862812769628991,1.08445400753093,0.0295830421616585,-0.0459062943681969,0.0459062943681969,-0.0163454501097829,-0.0242825607064018,0.0467732386027235,0.0357766143106457,-0.0195790504160548,-0.0815489749430524,0.343858632676709,0.320104287369641,0.33603707995365,-20400,-0.0474137931034483,608,20219,-0.16546030986421,1.15080745341615,1.1562656015976,1.20939947780679,0.802677029360967,0.783066554338669,0.801293103448276,0.923726708074534,0.928107838242636,0.970757180156658,0.967834853576572,0.0227081581160639,-0.000862812769628991,0,-0.121663123080558,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1190","00000000000000000249_0",0.0219423774088914,2639,2025,2521,2500,2563,2618.5,2636.5,2582.5,2835,2636.5,-0.0223945710130877,-0.014586095851487,0.51509231220084,1,-0.980533525594809,0.120911279866642,0.075663165390778,0.975419430355053,-21.7932489451477,-26.4871794871795,0.986251670803895,0.00826121164437451,1.00094822681585,0.166666666666667,-0.0358056265984655,0.0358056265984655,0.131646655231561,0.050389032975176,0.0396992756945081,-0.0627928772258669,0.131180950337874,0.027048063825647,0.316535831856166,0.358951633324892,0.324512534818941,435,0.10612563402263,-76,13037,0.0212019230769231,0.96276494176055,0.956191921107529,0.976185866408519,1.04581515271718,1.0546,1.02867733125244,1.00687416459805,1,1.02090997095837,1.30320987654321,-0.0247836349331235,-0.00826121164437451,0,0.0265745157208216,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1191","0000000000000000024a_0",0.108454312553373,2482,2201,666,803,1044,1279,1433,1564,1930,1772,-0.453650533223954,0.151911140150278,0.851104707012488,1,0.6921875,0.714756302521008,0.499256187170356,0.769157088122605,-3.28571428571429,-2.55138662316476,1.22283033620016,0.221052631578947,1.40067720090293,-0.06560154926168,0.125113327289211,-0.125113327289211,0.0600042707666026,0.297915265635508,0.202866936740418,-0.412367361873399,-0.211337369290039,0.511111111111111,0.21260259465184,0.510987556261583,0.276409849086577,39610,0.848659003831418,-1438,7092,0.387715249423043,0.520719311962471,0.464759246336357,0.425831202046036,2.66066066066066,2.20672478206725,1.69731800766284,1.38545738858483,1.23656664340544,1.13299232736573,1.12766924125398,-0.204064352243861,-0.221052631578947,0,0.37631067961165,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1192","0000000000000000024b_0",-0.105632100555958,2166,1951,1298,1416,2287,2066.5,2038,2013.5,2402,1953.5,-0.201599261879133,0.0923586409910462,0.560947595118449,1,0.0449921752738654,0.0588486140724947,0.0364302187080261,0.619151727153476,-3.09531129900077,-2.62003903708523,0.974352770384708,0.275871687587169,1.10877911441003,0.103606708017459,-0.0516637478108581,0.0516637478108581,0.0522224921059024,0.0245254851780763,0.075081123419492,-0.258250392875851,0.0218099774379544,0.209380234505863,0.231941031941032,0.393447993447993,0.374610974610975,-16675,0.05028421512899,121,10358.5,-0.117955670832351,0.628115170578272,0.636898920510304,0.644648621802831,1.50500770416025,1.37959039548023,0.854175776125929,0.945318170820227,0.958537782139352,0.970201142289546,1.11019989748847,-0.362162162162162,-0.275871687587169,0,0.159519216500965,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1193","0000000000000000024c_0",-0.0463092170594458,4812,2293.6,5426,6269,6717,6924.25,6768,6669.83333333333,6818.83333333333,6534.4,-0.0926724858700378,-0.0301101350925037,0.495283573039244,1,0.0396125619148883,0.0180544440477218,0.0110974849575499,0.933303558136073,-10.1790665140532,-4.45174926302909,0.963257151797427,0.106316396277691,0.736410381978453,0.496599883675418,-0.17254424303217,0.17254424303217,0.354424679126323,0.00752324078064401,-0.00767052517326893,-0.0420110280540451,0.493775933609958,-0.131486327948741,0.316538892021308,0.344301475229111,0.339159632749581,-41639,0.015160537938564,1905,33613.4833333333,-0.020668734294705,0.783622775029787,0.801713947990544,0.813513581049002,1.20427570954663,1.04233530068591,0.972815244900997,0.943697873415893,0.96548463356974,0.979694645043604,2.09801185908615,-0.0592592592592593,-0.106316396277691,0,0.0207288688942,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1194","0000000000000000024d_0",0.0662033167641754,1655,1464.71428571429,598.2,648.333333333333,707.6,1066,1109.66666666667,1174.5,1017.66666666667,1240.66666666667,-0.349381865641881,0.187693751361496,0.723702119385573,1,0.996657095101358,0.431080559202904,0.28531221781634,0.91624269832297,-2.81205107741421,-2.51068832834545,1.10178236397749,0.0837800582018686,1.33396023643203,-0.180088240936121,0.238463457221252,-0.238463457221252,0.0609945965747779,0.17972100931257,-0.023196288593825,-0.221688675470188,-0.137915726388221,0.437047756874095,0.273143467026177,0.428743961352657,0.298112571621166,11543.3333333333,0.438194837007726,-947.4,5298.43333333333,0.410310794861707,0.561163227016886,0.539080805046561,0.509323116219668,2.07399977710911,1.91362467866324,1.75334463915583,1.16385240775485,1.11805346951036,1.05633602951611,1.12991319613772,-0.0782157311279254,-0.0837800582018686,0,0.313569790012352,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1195","0000000000000000024e_0",-0.00577794692592464,892,816,743.777777777778,776,807.5,808.333333333333,837,852.5,852.666666666667,836.333333333333,-0.0585753463188243,0.0312673824734101,0.527877130233537,1,0.938365650969531,0.0652553426306812,0.0404477611940298,0.960990712074303,-26.3659793814433,-13.2056798623064,1.05463917525773,0.0410772481466891,1.06656038262256,0.0219736316420295,0.0225448987390142,-0.0225448987390142,0.0444964871194379,0.0272061038048389,0.0266907485450531,-0.0470732705689726,0.0127041742286751,0.0695443645083933,0.318533214749949,0.350003420674557,0.331463364575494,2196.66666666667,0.0559339525283797,-84.5,4141.66666666667,0.0263024528684371,0.920137457044674,0.888623390415505,0.87246660149886,1.12443979683298,1.07774914089347,1.03570691434469,1.03463917525773,0.999203504579849,0.981036168132942,1.09313725490196,-0.0375124048957989,-0.0410772481466891,0,0.0374198883605541,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
"1196","0000000000000000024f_0",-0.00471604321425111,2814.25,1517.83333333333,3342,3471.75,3519,3436,3385.5,3335.125,3629.92857142857,3277.5,0.00974393836392477,-0.0480022547611698,0.474467084072238,1,-0.866436063378714,0.037235137214158,0.0229636709697797,0.986572890025575,93.2902097902098,-35.4800531914894,0.970641734575087,0.0257979886313948,0.858657513348589,0.410293886386132,-0.126576034848728,0.126576034848728,0.299259401750505,0.0155168107108958,0.0274455889934596,-0.0222734061866661,0.380897348742352,-0.104597518294623,0.326885893085927,0.341779345548946,0.331334761365127,-13907.5,0.0315227540291478,704.75,16953.125,-0.0532955715756952,0.972642607683353,0.987151085511741,1.0020613920018,0.980700179533214,0.944048390581119,0.931372549019608,0.953870779976717,0.968099246787771,0.982721787039466,1.85412320193258,-0.0129496402877698,-0.0257979886313948,0,-0.0287809756639627,"train","{""""type"""":""""MultiPoint"""",""""coordinates"""":[]}"
