system:index,Class,pc1,pc2,.geo
000000000000000002b9_0,1,-0.5923192285817048,-2.488158052949746,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ba_0,1,-0.5264271065779572,-3.1531134826312335,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bb_0,1,0.11160862491586022,-11.39138034325051,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bc_0,1,-0.7059787002812117,-0.9010232300599835,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bd_0,1,-0.7069993532516792,-0.894863934946203,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002be_0,1,-0.7034782184481033,-0.9006216695892773,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002bf_0,1,-0.6782230966940751,-0.8225564262127855,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c0_0,1,20.79463274293841,431.4974257300423,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c1_0,1,-0.6018328260254946,-1.735026235975658,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c2_0,1,13.793966418576433,-223.1190973582293,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c3_0,1,-0.7007226773299101,-0.8082660421956808,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c4_0,1,-0.4214083624830371,-2.8154817741678335,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c5_0,1,20.106151397347993,-223.34159516835007,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c6_0,1,-0.7089307791933275,-0.8337375372265794,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c7_0,1,-0.7050521422700182,-0.9244330014273516,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c8_0,1,-0.47432150914966015,-2.0957073226511556,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002c9_0,1,18.507004559177293,-255.06373557602888,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ca_0,1,-0.2411608513061381,-1.8069511033344194,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cb_0,1,-0.6538611143131444,-1.0832890318460324,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cc_0,1,10.703353770867313,-74.60079429971846,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002cd_0,1,-0.6693738927187818,-1.0405069005310987,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002ce_0,1,-0.09197470483947227,-8.833704696258955,"{""type"":""MultiPoint"",""coordinates"":[]}"
